bar_code,title,price,cost_price,count
1269911,"ЧИПСЫ ""LAY'S"" зеленый лук 80Г",43.3023255814,36.0,8
7876,КОРМ Д/КОШЕК KITEKAT МЯСНОЙ ПИР (ИНД) 350ГР,57.5357142857,46.0,5
155,"Пиво светлое ""Baltika Neon Beer"" (""Балтика Неон Бир""), пастеризованное в бут, Санкт-Петербург",49.5,41.0,0
10399,Бонд компакт,92.1666666667,73.0,6
1297776,Чай Сусан Букет ,84.0,75.0,0
34980,"КОФЕ ""НЕСКАФЕ"" КЛАССИК 150ГР М/У",223.25,173.0,0
1085605,"ПРОДУКТ ЙОГУРТНЫЙ EHRMANN УСЛАДА 95ГР 1,2% ПЕРСИК-МАРАКУЙЯ 1/24ШТ",14.0,11.0,0
32936,Кружка,115.52173913,90.0,9
18601,холодный чай,49.6,39.0,1
24746,ШОКОЛАД АЛЁНКА МОЛОЧНЫЙ 100 ГР. КР.ОКТЯБРЬ,76.0,0.0,0
34987,КОФЕ НЕСКАФЕ GOLD М/У 150ГР,303.888888889,259.0,1
1255601,"шоколад ""Kinder Chocolate"" 8 порций",90.0666666667,73.0,9
1198260,"Желе ""Kitekat"" со вкусом говядины в соусе",15.8666666667,12.0,3
1087671,НАПИТОК КУРСКИЙ ЛИМОНАД ГАЗ 2Л САНТА ООО КБК,32.7777777778,25.0,1
1718457,ротманс деми роялсь,77.5194805195,64.0,15
6367418,Т Сигареты с фильтром Parliament Reserve P-Line Mix 125,119.164556962,100.0,15
1169595,"КОНСЕРВЫ ДЛЯ КОШЕК В АСС. ""ПЕРФЕКТ ФИТ"" 85Г.",41.0,36.0,1
1325244,МАЙОНЕЗ ПРОВАНСАЛЬ СМЕТАННЫЙ 67% 790Г. М/У СЛОБОДА,136.2,108.0,1
1566917,Напиток с/с Источник Жизни 1. 5л. в асс,44.5,36.0,1
2767049,"9 ПРЕЗЕРВАТИВЫ ""Неваляшка "" 1 УП",14.4166666667,12.0,2
1315022,Мармелад Детск. сувенир м/у 70гр.,23.25,19.0,0
1398995,"Шоколадный батончик ""Mars""       50 гр",35.0,27.0,0
1317080,Пакеты для мусора120 л,103.0,81.0,0
2668761,"Печенье Оригинальное с сахаром 0,3гр.",30.0,23.0,0
2394330,"4 НАПИТОК КОФЕЙНЫЙ ""NESCAFE"" 3 В 1 В АСС-ТЕ 16 Г.",10.4,8.0,17
1302755,Тетрадь 96л клетка,54.0,42.0,0
1331441,"САЛФЕТКИ НОВА ""УНИПАК СЕРВИС"" 45ШТ",25.75,22.0,0
1136885,"""СЛОБОДА"" МАЙОНЕЗ ОЛИВКОВЫЙ 67% 800МЛ. ДОЙПАК",111.571428571,89.0,1
2472183,Винстон черные с синей,100.55,79.0,20
1175805,GOLD WIND  300мл   Освеж.воздуха   КОФЕ,66.0,47.0,0
10498,Ватные палочки,31.0,25.0,0
1153287,Мороженое-рожок Экстрем 78г,70.2857142857,57.0,2
43052,Топленое молоко,39.3333333333,33.0,1
1325325,ДИХЛОФОС GRENDY 200МЛ П/ЛЕТАЮЩИХ 1/48,82.8,65.0,1
1110286,ПЕЛЬМЕНИ БУЛЬМЕНИ СО СЛИВ.МАС.430Г (ГОРЯЧАЯ ШТУЧКА),94.8666666667,77.0,3
53527,"""СЛОБОДА"" МАЙОНЕЗ ПРОВАНСАЛЬ 430МЛ.",75.4,59.0,2
1300763,Хлеб Домашний новый нарезанный 1/650,32.0,26.0,2
1300767,БАТОН СЛАВЯНСКИЙ 350Г В НАРЕЗКЕ ЗОЛОТОЙ КОЛОС 1/8,31.1052631579,25.0,7
1300770,ХЛЕБ ЖИТНЫЙ 350 НОВЫЙ ЗОЛОТОЙ КОЛОС 1/10,26.2,20.0,2
2378022,Кетчуп Добавкин 220г в ас-те,25.0,22.0,0
295,"Пивной напиток ""Пикур классическое"" пастеризованный СТЕКЛЯННАЯ БУТЫЛКА 0,47 л",56.0,47.0,0
